Resultados da calibração de um modelo com 3 parâmetros. Com 20 pontos de quadratura utilizados na estimação e parâmetros na escala logística.


            Dscrmn      Dffclt       Gussng
MT...45  0.9744182  1.72437614 0.1257009316


           Dscrmn     Dffclt      Gussng
CN...46 1.1136143  1.7022573 0.097112509
CN...47 2.3920815  1.3213454 0.150740798
CN...48 0.9913432  0.3736321 0.334275786
CN...49 1.9151478  1.1813128 0.191347592
CN...50 1.2168843  2.5517193 0.208256830
CN...51 1.8363011  1.8222066 0.176715299
CN...52 1.6173376  1.5992781 0.055832642
CN...53 2.0706383  1.4437793 0.163113160
CN...54 1.2606779  3.4275053 0.183355244
CN...55 0.7202870 -0.1430475 0.188097103
CN...56 1.2295842  1.6267311 0.278078122
CN...57 0.6508765  2.2861130 0.131458543
CN...58 3.4935460  2.0736943 0.229361975
CN...59 2.5120865  1.6076522 0.150107743
CN...60 2.2289760  1.0150825 0.250990268
CN...61 2.0653833  0.8875200 0.232789538
CN...62 1.0084815  3.8115051 0.156565185
CN...63 1.4255402  1.6405597 0.150439732
CN...64 4.3321031  2.3250249 0.224406983
CN...65 1.4220643  3.4094967 0.052008193
CN...66 3.0057387  2.1266946 0.150112670
CN...67 2.1588962  2.8752932 0.119023432
CN...68 1.6689794  1.3820837 0.126346004
CN...69 2.9850440  1.7373578 0.206343148
CN...70 0.4059091  4.4394831 0.007392097
CN...71 2.0315662  1.8994625 0.143034143
CN...72 2.5571953  2.7033518 0.165016251
CN...73 3.1325826  1.8185925 0.165320004
CN...74 2.0792787  1.9035395 0.139120899
CN...75 1.3748172  2.4935106 0.230081447
CN...76 0.6480595 -1.1231387 0.086972002
CN...77 1.7303849  0.8899194 0.201073313
CN...78 1.4628612  0.9779924 0.230240780
CN...79 0.6863501  1.4785385 0.128202199
CN...80 2.4911180  1.8254122 0.313876979
CN...81 1.6500139 -0.3452124 0.007260142
CN...82 2.3258746  2.1414393 0.329239114
CN...83 3.7603137  2.7244855 0.275039514
CN...84 0.5360424  3.5692322 0.119488831
CN...85 1.8471949  1.8202816 0.216397372
CN...86 1.3246757  1.0895510 0.114446456
CN...87 0.9233242  2.1881586 0.134807607
CN...88 1.2104982  3.3903126 0.137394385
CN...89 2.1422532  2.1467098 0.116358716
CN...90 2.1216341  2.2942219 0.115248448


             Dscrmn       Dffclt       Gussng
CH...91   1.3995148  0.523850119 2.771489e-01
CH...92   1.4537378  1.670554907 1.296153e-01
CH...93   0.1653480  8.462965937 6.095126e-02
CH...94   2.2481833  0.780995876 2.543679e-01
CH...95   1.0710172  1.220502663 1.980083e-01
CH...96   1.2069446  0.469477654 6.439018e-02
CH...97   1.1630648 -0.009810396 2.641615e-01
CH...98   2.3621343  1.843078602 5.616532e-02
CH...99   0.8154517  1.783613111 1.952804e-01
CH...100  1.2615195  1.020960598 1.816208e-01
CH...101  0.7990599 -1.373890100 2.956964e-06
CH...102  1.7965233  0.394708410 1.593697e-01
CH...103  1.2779803  1.248891026 1.345245e-01
CH...104  2.3025794  2.052695860 1.752224e-01
CH...105  1.1300456 -0.427827278 2.269764e-01
CH...106  1.7052089  0.622276351 2.236652e-01
CH...107  2.2131002  0.432388132 3.464161e-01
CH...108  1.7967984  1.072409586 1.848870e-01
CH...109  0.6156927  3.343601106 1.610303e-01
CH...110  1.6522037  1.686660509 1.368566e-01
CH...111  0.8652371  0.654887510 4.518982e-08
CH...112  1.8016998  1.123647157 1.077079e-01
CH...113  0.4630276 -1.057366827 5.347516e-06
CH...114  0.8833923 -1.207494792 1.471600e-06
CH...115  1.6106967  0.567419820 2.307989e-01
CH...116  2.8890706  3.031658860 1.812853e-01
CH...117  1.7793613  1.175221965 2.559570e-01
CH...118  1.9350352  2.027387395 1.860628e-01
CH...119  1.3949846  1.901399152 1.596877e-01
CH...120  0.3941719 -0.482353234 1.984765e-04
CH...121  0.7285124 -1.490348324 5.046068e-04
CH...122  1.2438891  0.643482383 2.358662e-01
CH...123  1.3761930  0.300084407 5.374916e-02
CH...124  0.4127302  4.775444583 1.454974e-01
CH...125  0.7971924 -0.317651971 1.129743e-04
CH...126  2.1075060  2.902530532 2.133005e-01
CH...127  1.2718287  1.871508680 1.455672e-01
CH...128  0.6340850  0.533171275 6.552720e-06
CH...129  1.4693741  1.286050165 1.339129e-01
CH...130  0.1629344  5.755728759 3.827048e-02
CH...131  1.0595728  0.855601226 6.029589e-02
CH...132  1.5410343  0.151176693 1.702357e-01
CH...133  0.2608873  2.673895633 4.229236e-03
CH...134  1.3609332 -0.645657330 1.369321e-01
CH...135  1.3659946  3.093376587 2.258130e-01


            Dscrmn     Dffclt       Gussng
LC...136 0.5382713 -0.1124019 2.425288e-03
LC...137 1.8760004  1.2954362 2.112362e-01
LC...138 0.6201694  1.7348150 1.457157e-01
LC...139 1.4186940 -0.4169479 4.381409e-04
LC...140 0.8866883  2.6442411 8.993763e-02
LC...141 1.0888660 -1.2886914 4.888550e-09
LC...142 1.2108406  0.9407925 8.627011e-02
LC...143 1.0778200  0.3820403 8.650965e-02
LC...144 1.3901134  1.2121882 1.097638e-01
LC...145 1.1583103 -1.7747614 1.350895e-08
LC...146 1.1425140 -0.4357985 1.153189e-04
LC...147 0.9064587  2.0616030 1.144636e-01
LC...148 0.4630688  2.5126849 2.032161e-01
LC...149 1.6362494  0.5712458 1.412416e-01
LC...150 1.3837244  0.1296842 2.732386e-01
LC...151 1.1394672  1.5921708 1.157789e-01
LC...152 0.8424539 -0.3908396 4.476478e-08
LC...153 0.5496086  2.1080970 1.264316e-01
LC...154 1.6326717  1.0350564 2.095066e-01
LC...155 1.2593330  1.5280983 1.491307e-01
LC...156 0.8022273  2.8000833 2.203225e-01
LC...157 2.0789313  2.2982228 1.364637e-01
LC...158 1.9706429  1.4360285 1.367001e-01
LC...159 0.6336688 -0.9880405 3.152937e-04
LC...160 1.2351277  0.5523565 1.687949e-01
LC...161 1.9226291  1.0510843 2.124647e-01
LC...162 1.5636953  0.3894458 3.090232e-01
LC...163 1.3303183  1.8263838 1.614590e-01
LC...164 3.6047925  2.4452537 2.967552e-01
LC...165 0.2588652  1.5886168 6.405894e-03
LC...166 2.8518097  2.0127193 1.284875e-01
LC...167 1.6610986  0.6975858 1.002291e-01
LC...168 1.1377101  0.4209249 1.532175e-01
LC...169 1.5566467  1.4599483 2.465681e-01
LC...170 1.1817020 -0.4612427 3.409674e-06
LC...171 1.3483832  2.6217715 1.934523e-01
LC...172 0.7708272  0.7637186 1.804408e-01
LC...173 0.6050472  2.4842716 1.566114e-01
LC...174 1.7361913  0.8979930 1.933399e-01
LC...175 0.6799771  1.9498591 9.363405e-02


           Dscrmn     Dffclt     Gussng
ES...1 0.03957817 32.6914089 0.04642377
ES...2 1.71098148  0.4424663 0.11689940
ES...3 0.69821668  0.1323096 0.03036005
ES...4 1.08185118  0.9811860 0.10626429
ES...5 0.50624001 -1.1148955 0.04988833



            Dscrmn     Dffclt     Gussng
IN...1   1.4233688  3.7090518 0.06520981
IN...2   0.5771168  3.6646744 0.01849766
IN...3   0.6944289 16.8798149 0.18327750
IN...4  19.8574323  0.6366157 0.32605447
IN...5   0.7337033  2.8562994 0.03951136
